imdbID,Title,Year
6751668,Parasite,2019
1517268,Barbie,2023
7286456,Joker,2019
4633694,Spider-Man: Into the Spider-Verse,2018
0816692,Interstellar,2014
8946378,Knives Out,2019
1877830,The Batman,2022
0110912,Pulp Fiction,1994
5052448,Get Out,2017
8772262,Midsommar,2019
15398776,Oppenheimer,2023
0468569,The Dark Knight,2008
1375666,Inception,2010
9362722,Spider-Man: Across the Spider-Verse,2023
10872600,Spider-Man: No Way Home,2021
0120382,The Truman Show,1998
0993846,The Wolf of Wall Street,2013
0144084,American Psycho,2000
9764362,The Menu,2022
0245429,Spirited Away,2001
2267998,Gone Girl,2014
0081505,The Shining,1980
0338013,Eternal Sunshine of the Spotless Mind,2004
0361748,Inglourious Basterds,2009
11564570,Glass Onion,2022
4154756,Avengers: Infinity War,2018
4154796,Avengers: Endgame,2019
0114369,Se7en,1995
0109830,Forrest Gump,1994
0102926,The Silence of the Lambs,1991
3890160,Baby Driver,2017
1853728,Django Unchained,2012
1285016,The Social Network,2010
7784604,Hereditary,2018
1798709,Her,2013
0446029,Scott Pilgrim vs. the World,2010
1825683,Black Panther,2018
0133093,The Matrix,1999
1130884,Shutter Island,2010
0075314,Taxi Driver,1976
2015381,Guardians of the Galaxy,2014
0432283,Fantastic Mr. Fox,2009
2543164,Arrival,2016
1856101,Blade Runner 2049,2017
11286314,Don't Look Up,2021
0111161,The Shawshank Redemption,1994
0120737,The Lord of the Rings: The Fellowship of the Ring,2001
2380307,Coco,2017
0097165,Dead Poets Society,1989
1630029,Avatar: The Way of Water,2022
2250912,Spider-Man: Homecoming,2017
16419074,Air,2023
1740707,Troll Hunter,2010
0076759,Star Wars: Episode IV - A New Hope,1977
3501632,Thor: Ragnarok,2017
0099685,Goodfellas,1990
8579674,1917,2019
1049413,Up,2009
9419884,Doctor Strange in the Multiverse of Madness,2022
1392190,Mad Max: Fury Road,2015
1431045,Deadpool,2016
0910970,WALL·E,2008
6320628,Spider-Man: Far from Home,2019
0119217,Good Will Hunting,1997
5013056,Dunkirk,2017
0499549,Avatar,2009
0449059,Little Miss Sunshine,2006
0304141,Harry Potter and the Prisoner of Azkaban,2004
0848228,The Avengers,2012
1392170,The Hunger Games,2012
0062622,2001: A Space Odyssey,1968
0477348,No Country for Old Men,2007
0241527,Harry Potter and the Sorcerer's Stone,2001
0117571,Scream,1996
1396484,It,2017
0080684,Star Wars: Episode V - The Empire Strikes Back,1980
0088847,The Breakfast Club,1985
1392214,Prisoners,2013
6644200,A Quiet Place,2018
6723592,Tenet,2020
3896198,Guardians of the Galaxy Vol. 2,2017
0377092,Mean Girls,2004
