imdbID,Title,Year,Directors,Writers,Composers,Cast,IMDbRating,Metascore,OriginCountry,OriginalLanguage
6751668,Parasite,2019,Bong Joon Ho,"Han Jin-won, Bong Joon Ho",Jung Jae-il,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Lee Jung-eun, Jang Hye-jin, Park Myung-hoon, Jung Ji-so, Jung Hyeon-jun, Park Keun-rok, Jung Yi-seo, Cho Jae-myung, Jeong Ik-han, Kim Kyu-baek, Ahn Seong-bong, Yoon Young-woo, Park Jae-wook, Lee Dong-yong, Jeon Eun-mi, Kim Geon, Lee Joo-hyung, Lee Ji-hye, Kim Bo-ryeong, Park Hye-sook, Baek Seung-hwan, Riccardo Ferraresso, Ko Kwan-jae, Lee Si-hoon, Seo Bok-hyeon, Shim Soo-mi, Yoon Hye-ree, Andreas Fronk, Anna Elisabeth Rihlmann, Rosie Peralta, Shin Seung-min, Park Seo-jun, Kwak Sin-ae, Choi Jeong-hyun, Kim Ha-eon, Lee Eun-hee, Choi Ji-won, Park Jae-wan, Hwang In-gyeong, Kim Yeong-jo, Kim Jung-woo, Lee Sang-kyung, Lee Si-hoo, Ahn Jin-sang",8.5,97.0,South Korea,Korean
1517268,Barbie,2023,Greta Gerwig,"Noah Baumbach, Greta Gerwig","Andrew Wyatt, Mark Ronson","Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt, Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney, Ana Cruz Kayne, Ritu Arya, Dua Lipa, Nicola Coughlan, Emerald Fennell, Simu Liu, Kingsley Ben-Adir, Ncuti Gatwa, Scott Evans, John Cena, Michael Cera, Rhea Perlman, Helen Mirren, Will Ferrell, Connor Swindells, Jamie Demetriou, Andrew Leung, Will Merrick, Zheng Xi Yong, Asim Chaudhry, Ray Fearon, Erica Ford, Hannah Khalique-Brown, Mette, Marisa Abela, Lucy Boynton, Rob Brydon, Tom Stourton, Chris Taylor, David Mumeni, Olivia Brody, Isla Ashworth, Eire Farrell, Daisy Duczmal, Genvieve Toussaint, Isabella Nightingale-Mercado, Millie-Rose Crossley, Anvita Nehru, Kayla-Mai Alvares, Luke Mullen, Patrick Luwis, Mac Brandt, Paul Jurewicz, Oraldo Austin, Benjamin Arthur, Carlos Jacott, Adam Ray, George Basil, Ptolemy Slocum, Deb Hiett, James Leon, Oliver Vaquer, Tony Noto, Christopher T. Wood, Ann Roth, Annie Mumolo, Elise Gallup, McKenna Roberts, Brylee Hsu, Sasha Milstein, Lauren Holt, Sterling Jones, Ryan Piers Williams, Jamaal Lewis, Kathryn Akin, Grace Jabbari, Ira Mandela Siobhan, Lisa Spencer, Naomi Weijand, Tom Clark, Ireanne Abenoja, Davide Albonetti, Charlotte Anderson, Michael Anderson, Rico Bakker, James Bamford, William John Banks, Callum Bell, Adam Blaug, Mason Boyce, Taylor Bradshaw, Alex Brown, Miekaile Browne, Lewis Calcutt, Nikkita Chadha, Oliver Chapman, Megan Charles, Callum Clack, Danny Coburn, Kat Collings",6.8,80.0,United States,English
7286456,Joker,2019,Todd Phillips,"Scott Silver, Todd Phillips",Hildur Guðnadóttir,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais, Rocco Luna, Marc Maron, Sondra James, Murphy Guyer, Douglas Hodge, Dante Pereira-Olson, Carrie Louise Putrello, Sharon Washington, Hannah Gross, Frank Wood, Brian Tyree Henry, April Grace, Mick Szal, Carl Lundstedt, Michael Benz, Ben Warheit, Gary Gulman, Sam Morril, Chris Redd, Mandela Bellamy, Demetrius Dotson II, Greer Barnes, Ray Iannicelli, Bryan Callen, Peter Hans Benson, Vito Gerbino, Adam Quezada, Xavyer Ureña, Evan Rosado, Damian Emmanuel, Mike Troll, Jane Fergus, David Gibson, Tony D. Head, Jeff McCarthy, Kim Brockington, Troy Roberts, Lou Young, Michael-Scott Druckenmiller, Craig Austin, John Cenatiempo, Danny Schoch, Keith Buterbaugh, James Ciccone, Rich Campbell, Roger Squitero, Steven Elson, Graham Mabry, John Alldred, Alonzo Wright, Jack Wilkins, Richard Baratta, Mary Kate Malat, Adrienne Acevedo Lovette, Justin Theroux, Alissa Bourne, Jamaal Burcher, John Cashin, Jason John Cicalese, Brendan Patrick Connor, Blaise Corrigan, Dennis Jay Funny, James P. Harkins, Joseph Hernandez, Ben Heyman, Graham Maby, Jesse Schratz, Isabella Ferreira, Shade Rupe, Michael Lepre",8.3,59.0,United States,English
4633694,Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Phil Lord, Rodney Rothman",Daniel Pemberton,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Luna Lauren Velez, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine, Natalie Morales, Edwin H. Bravo, Oscar Isaac, Greta Lee, Stan Lee, Jorma Taccone, Joaquín Cosío, Marvin Jones III, Kim Yarbrough, Lake Bell, Jessica Mikayla Adams, Gredel Berrios Calladine, Sarah D. Cole, Kelby Joseph, Mimi Davila, Claudia Choi, Melanie Haynes, Joseph Izzo, Nick Jaine, Muneeb Rehman, Carlos Zaragoza, Post Malone, David Applebee, Juan Carlos Arvelo, Adam Brown, Jon Bruno, Darcy Rose Byrnes, Oscar Camacho, June Christopher, Alycia Cooper, Michelle Jubilee Gonzalez, Terrence Hardy Jr., Bridget Hoffman, Rif Hutton, Miguel Jiron, Harrison Knight, Lex Lang, Donna Lynn Leavy, Andrew Leviton, Caitlin McKenna, Scott Menville, Christopher Miller, Arthur Ortiz, Juan Pacheco, Devika Parikh, Shakira Ja'nai Paye, Courtney Peldon, Chrystee Pharris, Jacqueline Pinol, Juan Pope, Al Rodrigo, Joseph Sanfelippo, Justin Shenkarow, Dennis Singletary, Warren Sroka, Melissa Sturm, Holly Walker, Jason Linere-White, Ruth Zalduondo",8.4,87.0,United States,English
816692,Interstellar,2014,Christopher Nolan,"Jonathan Nolan, Christopher Nolan",Hans Zimmer,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck, Wes Bentley, Topher Grace, Mackenzie Foy, Ellen Burstyn, John Lithgow, Bill Irwin, David Gyasi, Timothée Chalamet, Matt Damon, Josh Stewart, Leah Cairns, Liam Dickinson, Francis X. McCarthy, William Devane, Andrew Borba, Elyes Gabel, David Oyelowo, Collette Wolfe, Jeff Hephner, Russ Fega, Lena Georgas, Brooke Smith, Flora Nolan, Griffen Fraser, Kristian Van der Heyden, William Patrick Brown, Benjamin Hardy, Joseph Oliveira, Alexander Michael Helisek",8.7,74.0,United States,English
8946378,Knives Out,2019,Rian Johnson,Rian Johnson,Nathan Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, LaKeith Stanfield, Christopher Plummer, Katherine Langford, Jaeden Martell, Riki Lindhome, Edi Patterson, Frank Oz, K Callan, Noah Segan, M. Emmet Walsh, Marlene Forte, Raúl Castillo, Shyrley Rodriguez, Kerry Frances, Gary Tanguay, Octavia Chavez-Richmond, Joseph Gordon-Levitt, Paul Bellefeuille, Ben Bunnag, Michael Burnell, Frankie Francois, Marcela Jaramillo, Gabrielle Lorthe, Rob Lévesque, Paul Tawczynski",7.9,82.0,United States,English
1877830,The Batman,2022,Matt Reeves,"Peter Craig, Matt Reeves, Mattson Tomlin",Michael Giacchino,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Paul Dano, John Turturro, Andy Serkis, Peter Sarsgaard, Barry Keoghan, Jayme Lawson, Gil Perez-Abraham, Peter McDonald, Con O'Neill, Alex Ferns, Rupert Penry-Jones, Kosha Engler, Archie Barnes, Janine Harouni, Hana Hrzic, Joseph Walker, Luke Roberts, Oscar Novak, Stella Stocker, Sandra Dickinson, Jack Bennett, Andre Nightingale, Richard James-Neale, Lorraine Tai, Joseph Balderrama, James Eeles, Angela Yeoh, Leemore Marrett Jr., Ezra Elliott, Itoya Osagiede, Stewart Alexander, Adam Rojko Vega, Heider Ali, Marcus Onilude, Elena Saurel, Ed Kear, Sid Sagar, Amanda Blake, Todd Boyce, Brandon Bassir, Will Austin, Chabris Napier-Lawrence, Douglas Russell, Charlie Carver, Max Carver, Phil Aizlewood, Mark Killeen, Philip Shaun McGuinness, Lorna Brown, Elliot Warren, Jay Lycurgo, Stefan Race, Elijah Baker, Craige Middleburg, Akie Kotabe, Spike Fearn, Urielle Klein-Mekongo, Bronson Webb, Madeleine Gray, Ste Johnston, Arthur Lee, Parry Glasspool, Jordan Coulson, Hadas Gold, Pat Battle, Bobby Cuza, Dean Meminger, Roma Torre, Mike Capozzola, Amanda Hurwitz, Joshua Eldridge-Smith, Daniel Rainford, Nathalie Armin, Jose Palma, Kazeem Tosin Amore, Dave Simon, Rodrig Andrisan, Craig Douglas, Sophie Lamont, Kemal Shah, Mark Addison, Tiago Martins",7.8,72.0,United States,English
110912,Pulp Fiction,1994,Quentin Tarantino,Quentin Tarantino,,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Eric Stoltz, Tim Roth, Amanda Plummer, Maria de Medeiros, Quentin Tarantino, Christopher Walken, Rosanna Arquette, Peter Greene, Duane Whitaker, Angela Jones, Phil LaMarr, Steve Buscemi, Bronagh Gallagher, Laura Lovelace, Frank Whaley, Burr Steers, Paul Calderon, Jerome Patrick Hoban, Michael Gilden, Gary Shorelle, Susan Griffiths, Eric Clark, Joseph Pilato, Brad Blumenthal, Lorelei Leslie, Emil Sitka, Brenda Hillhouse, Chandler Lindauer, Sy Sher, Robert Ruth, Rich Turner, Don Blakely, Carl Allen, Karen Maruyama, Kathy Griffin, Venessia Valentino, Linda Kaye, Stephen Hibbert, Alexis Arquette, Julia Sweeney, Lawrence Bender, Cie Allman, Rene Beard, Glendon Rich, Ani Sava, Richard Rossi",8.8,95.0,United States,English
5052448,Get Out,2017,Jordan Peele,Jordan Peele,Michael Abels,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Marcus Henderson, Betty Gabriel, LaKeith Stanfield, Stephen Root, Lil Rel Howery, Ashley LeConte Campbell, John Wilmot, Caren L. Larkey, Julie Ann Doan, Rutherford Cravens, Geraldine Singer, Yasuhiko Oyama, Richard Herd, Erika Alexander, Jeronimo Spinx, Ian Casselberry, Trey Burvant, John Donohue, Sean Paul Braud, Zailand Adams, Keegan-Michael Key, Jordan Peele, Evan Shafran, Tahj Vaughans",7.8,85.0,United States,English
8772262,Midsommar,2019,Ari Aster,Ari Aster,Bobby Krlic,"Florence Pugh, Jack Reynor, William Jackson Harper, Will Poulter, Vilhelm Blomgren, Isabelle Grill, Gunnel Fred, Ellora Torchia, Archie Madekwe, Henrik Norlén, Agnes Westerlund Rase, Julia Ragnarsson, Mats Blomgren, Lars Väringer, Anna Åström, Hampus Hallberg, Liv Mjönes, Louise Peterhoff, Katarina Weidhagen, Björn Andrésen, Tomas Engström, Dag Andersson, Lennart R. Svensson, Anders Beckman, Rebecka Johnston, Tove Skeidsvoll, Anders Back, Anki Larsson, Levente Puczkó-Smith, Frans Cavallin Rosengarten, Vilmos Kolba, Mihály Kaszás, Gabi Fón, Zsolt Bojári, Klaudia Csányi, Anna Berentzen, Austin R. Grant, Ari Aster",7.1,72.0,United States,English
