imdbID,Title,Year,Rating
16419074,Air,2023,3.5
0119217,Good Will Hunting,1997,4.5
0840361,The Town,2010,3.0
14230458,Poor Things,2023,4.5
26047818,Anyone But You,2023,2.0
1049413,Up,2009,4.0
0107048,Groundhog Day,1993,4.0
0327056,Mystic River,2003,3.5
9071322,Dark Waters,2019,4.0
0134119,The Talented Mr. Ripley,1999,5.0
0377092,Mean Girls,2004,4.0
1392214,Prisoners,2013,4.0
9639470,Last Night in Soho,2021,3.0
0421715,The Curious Case of Benjamin Button,2008,4.0
1396484,It,2017,3.0
1051906,The Invisible Man,2020,3.5
3783958,La La Land,2016,4.5
1041829,The Proposal,2009,2.0
0195685,Erin Brockovich,2000,4.0
0829482,Superbad,2007,3.0
0405422,The 40 Year Old Virgin,2005,4.0
6751668,Parasite,2019,5.0
0147800,10 Things I Hate About You,1999,3.5
3659388,The Martian,2015,4.5
0079470,Life of Brian,1979,4.0
0106977,The Fugitive,1993,4.5
0126029,Shrek,2001,3.5
1478338,Bridesmaids,2011,3.5
0947798,Black Swan,2010,4.5
0082971,Raiders of the Lost Ark,1981,5.0
0936501,Taken,2008,3.5
0097576,Indiana Jones and the Last Crusade,1989,4.5
15791034,Barbarian,2022,4.0
2267998,Gone Girl,2014,5.0
11564570,Glass Onion,2022,3.5
5886046,Escape Room,2019,2.5
11245972,Scream,2022,2.5
4361050,Ouija: Origin of Evil,2016,3.0
1204977,Ouija,2014,2.0
12361974,Zack Snyder's Justice League,2021,1.5
5734576,The Possession of Hannah Grace,2018,1.5
0443706,Zodiac,2007,5.0
0963794,The Ruins,2008,3.0
12873562,The Invitation,2022,2.0
4273800,The Good Nurse,2022,2.5
1099212,Twilight,2008,2.0
1259571,The Twilight Saga: New Moon,2009,1.5
16426418,Challengers,2024,4.5
12584954,Twisters,2024,3.5
0903624,The Hobbit: An Unexpected Journey,2012,2.0
23468450,Longlegs,2024,3.5
1895587,Spotlight,2015,5.0
13345606,Evil Dead Rise,2023,2.5
0298148,Shrek 2,2004,3.5
0081505,The Shining,1980,5.0
0240772,Ocean's Eleven,2001,5.0
0407887,The Departed,2006,4.5
10655524,It Ends with Us,2024,2.0
2321549,The Babadook,2014,4.0
0167404,The Sixth Sense,1999,4.5
0068646,The Godfather,1972,4.5
0120783,The Parent Trap,1998,3.0
0077651,Halloween,1978,5.0
3235888,It Follows,2014,4.0
0082495,Halloween II,1981,2.5
8633478,Run,2020,3.5
13318942,Dark Windows,2023,1.5
5638642,The Ritual,2017,3.0
6644200,A Quiet Place,2018,3.5
0185937,The Blair Witch Project,1999,4.0
6772950,Truth or Dare,2018,1.5
9224104,Meg 2: The Trench,2023,1.0
0365748,Shaun of the Dead,2004,4.5
0117571,Scream,1996,5.0
5052448,Get Out,2017,4.5
0072271,The Texas Chain Saw Massacre,1974,3.5
10691162,Aftermath,2021,2.0
5814060,The Nun,2018,1.5
1853739,You're Next,2011,2.5
3322940,Annabelle,2014,2.0
1740707,Troll Hunter,2010,4.5
0102926,The Silence of the Lambs,1991,5.0
1325004,The Twilight Saga: Eclipse,2010,1.5
0110912,Pulp Fiction,1994,4.0
0119174,The Game,1997,3.5
3281548,Little Women,2019,4.0
0114369,Se7en,1995,5.0
26629652,Loveable,2024,3.5
29268110,Smile 2,2024,2.5
8721424,"tick, tick... BOOM!",2021,3.5
9218128,Gladiator II,2024,2.5
0117060,Mission: Impossible,1996,4.0
0073000,The Pinchcliffe Grand Prix,1975,5.0
11092178,The Snow Sister,2024,3.0
20215234,Conclave,2024,3.5
0314331,Love Actually,2003,2.5
