imdbID,Title,Year,Rating,Directors,Writers,Composers,Cast,IMDbRating,Metascore,OriginCountry,OriginalLanguage
16419074,Air,2023,3.5,Ben Affleck,Alex Convery,,"Matt Damon, Ben Affleck, Jason Bateman, Chris Messina, Viola Davis, Julius Tennon, Chris Tucker, Matthew Maher, Gustaf Skarsgård, Damian Young, Barbara Sukowa, Jay Mohr, Joel Gretsch, Marlon Wayans, Dan Bucatinsky, Michael O'Neill, Asanté Deshon, Billy Smith, Al Madrigal, Jackson Damon, Jessica Green, Gabrielle Bourne, Joshua Funk, Andy Hirsch, Tami Jordan, Jeff Cook, Albert Stroth, Mackenzie Rayne, Jerry Plummer, Haylee Baldwin, Ari Davis, Martina De Leon Diaz, Ure Egbuho, Dempsey Gibson, Geoffrey Gould, Richard Allan Jones, Tom Papa, LeChristopher Williams, Michael Jordan, Deloris Jordan, Barack Obama",7.4,73.0,United States,English
119217,Good Will Hunting,1997,4.5,Gus Van Sant,"Ben Affleck, Matt Damon",Danny Elfman,"Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård, Minnie Driver, Casey Affleck, Cole Hauser, Vik Sahay, John Mighton, Rachel Majorowski, Colleen McCauley, Matt Mercier, Ralph St. George, Rob Lynds, Dan Washington, Alison Folland, Derrick Bridgeman, Shannon Egleson, Rob Lyons, Steven Kozlowski, Jennifer Deathe, Scott William Winters, Philip Williams, Patrick O'Donnell, Kevin Rushton, Jimmy Flynn, Joe Cannon, Ann Matacunas, George Plimpton, Francesco Clemente, Jessica Morton, Barna Moricz, Libby Geller, Chas Lawther, Richard Fitzpatrick, Frank Nakashima, Chris Britton, David Eisner, Bruce Hunter, Robert Talvano, James Allodi, Michael Arthur, Christian Harmony, Riva Di Paola, Harmony Korine, Thomas Lundy, Paul McGillicuddy, Daniel Olsen, Stephen L'Heureux",8.3,71.0,United States,English
840361,The Town,2010,3.0,Ben Affleck,"Aaron Stockard, Ben Affleck, Peter Craig","David Buckley, Harry Gregson-Williams","Ben Affleck, Jeremy Renner, Rebecca Hall, Jon Hamm, Blake Lively, George Carroll, Pete Postlethwaite, Owen Burke, Titus Welliver, Chris Cooper, Dennis McLaughlin, Corena Chase, Brian Scannell, Kerri Dunbar, Tony V., Isaac Bordoy, Michael Yebba, Daniel Woods, Jimmy Joe Maher, Joe Lawler, Michele Cressinger, Mark Berglund, Ralph Boutwell, Michael Romig, Michael Malvesti, Jack Neary, Ed O'Keefe, Ben Hanson, Brian A. White, Richard Caines, Frank Garvin, Danny Ring, Gary Galone, David Catanzaro, Jeremiah Kissel, Malik McMullen, Charles C. Winchester III, Adam J. Husband, Danny DeMiller, Susan Rawlinson, Sean Locke, Peter Looney, Lennin Pena, James McKittrick, Ted Arcidi, Bryan Connolly, Quan Liang Chen, Alex Winston, Michael F. Murphy, Kimberly Mahoney, Bobby Curcuro, Ginaya Green, Nicole Page, Georgia Lyman, Robert Boyden, Jamie Ghazarian, Chick Bernhard, Stephen Bishop, David Boston, Alex Bussell, Katelyn Cahill, Nick Cairis, Jeffrey Corazzini, Tommy Dallace, Mary A. DeBriae, Tom Diorio, Jeffrey Feingold, Mugisha Feruzi, Carlos Foglia, Jim Ford, Rich Foster, John Franchi, Jonathon Frost, Victor Garber, Suzanne Gillies, London Hall, Bane Harlock, Louis Holmes",7.5,74.0,United States,English
14230458,Poor Things,2023,4.5,Yorgos Lanthimos,Tony McNamara,Jerskin Fendrix,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef, Christopher Abbott, Suzy Bemba, Jerrod Carmichael, Kathryn Hunter, Vicki Pepperdine, Hanna Schygulla, Margaret Qualley, Jack Barton, Charlie Hiscock, Attila Dobai, Emma Hindle, Anders Grundberg, Attila Kecskeméthy, Jucimar Barbosa, Carminho, Angela Paula Stander, Gustavo Gomes, Kate Handford, Owen Good, Zen Joshua Poisson, Vivienne Soan, Jerskin Fendrix, István Göz, Bruna Asdorian, Tamás Szabó Sipos, Tom Stourton, Mascuud Dahir, Miles Jovian, Jeremy Wheeler, János Geréb, Patrick de Valette, Raphaël Thiéry, Boris Gillot, Dorina Kovács, Yorgos Stefanakos, Hubert Benhamdine, Laurent Borel, Gábor Patay, Laurent Winkler, Andrew Hefler, Damien Bonnard, Noah Breton, Donovan Fouassier, Wayne Brett, John Locke, Keeley Forsyth, David Bromley, Celina Schleicher, Roderick Hill",7.8,88.0,United States,English
26047818,Anyone But You,2023,2.0,Will Gluck,"Ilana Wolpert, Will Gluck","Este Haim, Christopher Stracey","Sydney Sweeney, Glen Powell, Mia Artemis, Nat Buchanan, GaTa, Alexandra Shipp, Hadley Robinson, Dermot Mulroney, Rachel Griffiths, Deborah Faye Lee, Lance Kerfuffle, Taryn Gluck, Alexandra Gluck, Summer Tian, Dan Liu, Davina Chan Gallagher, Charlee Fraser, Joe Davidson, Bryan Brown, Michelle Hurd, Darren Barnet, Mariama Whitton, Ryan Panizza, Talayna Moana Nikora, Beau Karolos, Ben Heber, Maple, Theodore Avery, Jen Boxer, Heloise D'Annunzio, Victoria Ferrara, Apit Karki, Hiroshi Kasuga, Aiden Mckenzie, Armani Pinto, Jacob Yee",6.1,52.0,United States,English
1049413,Up,2009,4.0,Pete Docter,"Bob Peterson, Pete Docter",Michael Giacchino,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft, John Ratzenberger, David Kaye, Elie Docter, Jeremy Leary, Mickie McGowan, Danny Mann, Donald Fullilove, Jess Harnell, Josh Cooley, Pete Docter, Mark Andrews, Bob Bergen, Brenda Chapman, Emma Coats, John Cygan, Paul Eiding, Tony Fucile, Teresa Ganzel, Sherry Lynn, Laraine Newman, Teddy Newton, Jeff Pidgeon, Valerie LaPointe, Jan Rabson, Bob Scott",8.3,88.0,United States,English
107048,Groundhog Day,1993,4.0,Harold Ramis,"Danny Rubin, Harold Ramis",George Fenton,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray, Marita Geraghty, Angela Paton, Rick Ducommun, Rick Overton, Robin Duke, Carol Bivins, Willie Garson, Ken Hudson Campbell, Les Podewell, Rod Sell, Tom Milanovich, John M. Watson Sr., Peggy Roeder, Harold Ramis, David Pasquesi, Lee Sellars, Chet Dubowski, C.O. Erickson, Sandy Maschmeyer, Leighanne O'Neil, Evangeline Binkley, Samuel Mages, Ben Zwick, Hynden Walch, Michael Shannon, Timothy Hendrickson, Martha Webster, Angela Gollan, Shaun Chaiyabhat, Dianne B. Shaw, Barbara Ann Grimes, Ann Heekin, Lucina Paquet, Brenda Pickleman, Amy Murdoch, Eric Saiet, Lindsay Albert, Roger Adler, Ben A. Fish, Don Riozz McNichols, Brian Willig, Richard Henzel, Rob Riley, Tony DeGuide, Reni Santoni",8.0,72.0,United States,English
327056,Mystic River,2003,3.5,Clint Eastwood,Brian Helgeland,Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Spencer Treat Clark, Andrew Mackin, Adam Nelson, Robert Wahlberg, Jenny O'Hara, John Doman, Cameron Bowen, Jason Kelly, Connor Paolo, T. Bruce Page, Miles Herter, Cayden Boyd, Tori Davis, Jonathan Togo, Shawn Fitzgibbon, Will Lyman, Celine du Tertre, Ari Graynor, Zabeth Russell, Joe Stapleton, Susan Willis, José Ramón Rosario, Tom Kemp, Charley Broderick, Lonnie Farmer, Celeste Oliva, Bates Wilder, Douglass Bowen Flynn, Bill Thorpe, Matty Blake, Ken Cheeseman, Scott Winters, Thomas Derrah, Jim Smith, Patrick Shea, Duncan B. Putney, Ed O'Keefe, Dave Zee Garison, Michael McGovern, Bill Richards, Michael Peavey, John Franchi, Colleen Kelly, Eli Wallach, Kevin Conway, Frank Ridley, Kris Williams, Jillian Wheeler, Lance Norris, John Zaffis",7.9,84.0,United States,English
9071322,Dark Waters,2019,4.0,Todd Haynes,"Mario Correa, Matthew Michael Carnahan",Marcelo Zarvos,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Louisa Krause, Kevin Crowley, Bruce Cromer, Denise Dal Vera, Richard Hagerman, Abi Van Andel, John Newberg, Barry Mulholland, Jeffrey Grover, Jim Azelvandre, Graham Caldwell, William 'Bucky' Bailey, Marcia Dangerfield, Brian Gallagher, Michael Haney, Barry G. Bernson, Michael King, Greg Violand, Michael Joseph Thomas Ward, John Moll, Clara Harris, Bella Falcone, Scarlett Hicks, Amy Morse, Aidan Brogan, Nathan Slaughter, Beau Hartwig, Jacob Bukowski, Keating P. Sharp, Mikel Furlow, Amy Warner, Linnea Bond, David Myers Gregory, Shyra Thomas, Ian Short, Kyndra Jefferies, Courtney DeCosky, Ken Early, Kelly Mengelkoch, Annie Fitzpatrick, Buz Davis, Ronald Jenkins, Wynn Reichert, Mike Seely, Teri Clark, Brian Robertson, Chaney Morrow, Jon Osbeck, Clyde Tyrone Harper, Lisa DeRoberts, Sara Mackie, Nathan Neorr, Barbara Ann Crumm, Sheryl Annette Colley, Logan Laskarzewski, Phil Fiorini, Manuel Venegas Zepeda, Jennie Malone, Jason M. Griggs, George Zamary, Kurt Roberson, Todd Minobe, Jim Laprelle, Sydney Miles, Catch Farley, Trent Rowland, Geoff Falk, Glen Yrigoyen, Elizabeth Marvel, Ming Wang, Caleb Dwayne Tucker, Lea Hutton Beasmore, Anita Farmer Bergman, Lyman Chen, Tyler Craig, David Fultz, Robert Gerding, John W. Harden, Dennis Craig Hensley, Daniel R. Hill, Marc Hockl, Sue Hopkins, Matt Hudson, Conner P. Kelley, Angel Kerns, Bret Aaron Knower, Rodger Masten, David Pittinger, Joanne Popolin, Ramona Schwalbach, Carly Tamborski, Derek Polen",7.6,73.0,United States,English
134119,The Talented Mr. Ripley,1999,5.0,Anthony Minghella,Anthony Minghella,Gabriel Yared,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett, Philip Seymour Hoffman, Jack Davenport, James Rebhorn, Sergio Rubini, Philip Baker Hall, Celia Weston, Fiorello, Stefania Rocca, Ivano Marescotti, Anna Longhi, Alessandro Fabrizi, Lisa Eichhorn, Gretchen Egolf, Jack Willis, Frederick Alexander Bosche, Dario Bergesio, Larry Kaplan, Claire Hardwick, Antonio Prester, Lorenzo Mancuso, Onofrio Mancuso, Massimo Reale, Emanuele Carucci Viterbi, Caterina Deregibus, Silvana Bosi, Gianfranco Barra, Renato Scarpa, Deirdre Lovejoy, Brian Tarantina, Guy Barker, Bernardo Sassetti, Perico Sambeat, Gene Calderazzo, Joseph Lepore, Rosario Giuliuni, Eddy Palerno, Byron Wallen, Pete King, Clark Tracey, Jean Toussaint, Geoff Gascoyne, Carlo Negroni, Giuseppe Fiorello, Marco Quaglia, Alessandra Vanzi, Marco Rossi, Roberto Valentini, Francesco Bovino, Stefano Canettieri, Marco Foti, Ludovica Tinghi, Nicola Pannelli, Paolo Calabresi, Pietro Ragusa, Simone Empler, Gianluca Secci, Manuel Ruffini, Pierpaolo Lovino, Roberto Di Palma, Dominic Fumusa",7.4,76.0,United States,English
